eta,paso,particula_id,x,y,vx,vy,theta,omega
1.897368,4500,17,10.911966,10.189887,0.85683,-0.499158,-0.6703,0.005551
1.897368,4500,18,13.881364,0.772451,0.714658,-0.693589,-0.873032,-0.040233
1.897368,4500,19,1.415936,11.750789,0.615718,-0.773914,-0.975113,0.296084
1.897368,4500,20,14.077606,0.899392,0.829651,-0.526308,-0.44375,-0.509782
1.897368,4500,21,2.448221,10.491462,0.805888,-0.580729,-0.6784,0.236414
1.897368,4500,22,16.472731,11.409314,0.777647,-0.620206,-0.767877,-0.489402
1.897368,4500,23,12.766471,6.165919,0.544538,-0.821437,-0.822578,0.454519
1.897368,4500,24,1.197792,10.558145,0.693963,-0.715783,-0.740578,0.213991
1.897368,4500,25,7.637741,15.824074,0.739238,-0.66454,-0.68162,0.294032
1.897368,4500,26,6.544262,12.41928,0.768211,-0.623942,-0.696733,-0.067485
1.897368,4500,27,11.461535,17.219153,0.777937,-0.614288,-0.802005,0.192663
1.897368,4500,28,10.305455,11.139707,0.779331,-0.619403,-0.709486,0.133874
1.897368,4500,29,3.091631,18.732936,0.74686,-0.661553,-0.779996,0.051178
1.897368,4500,30,13.814673,19.048843,0.758273,-0.641057,-0.616072,-0.007572
1.897368,4500,31,10.930993,5.664867,0.733973,-0.671013,-0.755404,-0.124365
1.897368,4500,32,18.591111,1.150546,0.681604,-0.706036,-0.465825,0.671971
1.897368,4500,33,19.890658,9.95504,0.840185,-0.490856,-0.614642,-1.115466
1.897368,4500,34,13.813308,3.753738,0.677359,-0.708368,-0.733694,0.165565
1.897368,4500,35,11.221839,9.804231,0.689312,-0.718503,-0.775693,-0.220802
1.897368,4500,36,0.388449,19.108582,0.748947,-0.655129,-0.626463,0.087491
1.897368,4500,37,0.264557,14.345859,0.748265,-0.653485,-0.536528,0.401579
1.897368,4500,38,10.603889,12.882674,0.76204,-0.635032,-0.800853,-0.286801
1.897368,4500,39,10.546608,17.477123,0.795845,-0.577885,-0.508432,-0.64616
1.897368,4500,40,1.71733,1.630452,0.780113,-0.608037,-0.760179,-0.679298
1.897368,4500,41,12.692767,9.96777,0.74194,-0.63346,-1.008822,-0.088099
1.897368,4500,42,4.241266,8.271135,0.779246,-0.620167,-0.71981,0.203784
1.897368,4500,43,10.496955,6.851862,0.819934,-0.561835,-0.710531,-0.303019
1.897368,4500,44,3.813983,2.96327,0.704838,-0.67676,-0.843478,0.735019
1.897368,4500,45,4.356454,10.756396,0.750583,-0.652768,-0.721261,-0.622584
1.897368,4500,46,5.376645,10.570082,0.649258,-0.740666,-1.010365,0.334532
1.897368,4500,47,11.017436,11.010086,0.792544,-0.604631,-0.601215,-0.300668
1.897368,4500,48,3.178094,11.628638,0.690125,-0.719154,-0.788083,0.008936
1.897368,4500,49,19.398884,8.668988,0.753437,-0.654321,-0.657121,0.140695
1.897368,4500,50,6.433146,8.24128,0.693785,-0.706985,-0.717374,-0.216191
1.897368,4500,51,7.881321,6.209304,0.737986,-0.6676,-0.798852,-0.255205
1.897368,4500,52,9.945139,3.677749,0.718607,-0.692456,-0.766403,0.382181
1.897368,4500,53,15.459046,4.792791,0.739508,-0.662758,-0.640698,0.396676
1.897368,4500,54,1.410184,0.106066,0.795252,-0.566402,-0.837075,-0.416738
1.897368,4500,55,15.299279,12.681205,0.690036,-0.707813,-0.640164,0.677381
1.897368,4500,56,10.358128,14.397776,0.766527,-0.543831,-0.304544,-0.580644
1.897368,4500,57,18.131157,8.2056,0.821061,-0.558909,-0.442015,-0.097046
1.897368,4500,58,14.751742,14.182741,0.756985,-0.645759,-0.621985,0.246297
1.897368,4500,59,7.989976,11.199509,0.740947,-0.663452,-0.930009,-0.445865
1.897368,4500,60,9.068525,14.603133,0.804947,-0.58765,-0.631325,-0.237143
1.897368,4500,61,7.403723,5.828448,0.752677,-0.653597,-0.641531,-0.481122
1.897368,4500,62,7.981844,7.160131,0.734732,-0.656497,-0.784808,0.588509
1.897368,4500,63,3.841042,8.944393,0.804067,-0.58227,-0.627197,-0.069834
1.897368,4500,64,7.826594,17.558004,0.641283,-0.73339,-0.945468,0.306785
1.897368,4500,65,15.858668,4.712319,0.787658,-0.60241,-0.702901,-0.378158
1.897368,4500,66,10.455556,1.031338,0.61011,-0.76476,-1.143428,0.097154
1.897368,4500,67,16.179155,2.822085,0.856539,-0.477916,-0.422494,-0.491216
1.897368,4500,68,14.761234,18.753275,0.737354,-0.67247,-0.813606,0.138365
1.897368,4500,69,18.119826,3.347799,0.747594,-0.647364,-0.781991,-0.011925
1.897368,4500,70,4.768978,18.300427,0.760475,-0.637181,-0.462804,0.280083
1.897368,4500,71,11.829178,3.007477,0.785604,-0.58082,-1.056658,-0.899528
1.897368,4500,72,3.559252,16.782496,0.792903,-0.592076,-0.452148,0.405012
1.897368,4500,73,4.716871,16.449413,0.776018,-0.617791,-0.836411,-0.289691
1.897368,4500,74,8.195909,0.761442,0.671094,-0.695351,-1.061604,0.64532
1.897368,4500,75,0.808646,14.460756,0.699916,-0.688326,-0.934222,-0.020438
1.897368,4500,76,5.239282,16.295498,0.622379,-0.768867,-0.71032,0.699419
1.897368,4500,77,8.980412,18.222036,0.740833,-0.667121,-0.622567,0.119369
1.897368,4500,78,17.021934,12.83762,0.761579,-0.640146,-0.83261,-0.19456
1.897368,4500,79,4.367655,19.909434,0.647695,-0.756506,-0.812599,0.055752
