eta,paso,particula_id,x,y,theta
1.794737,800,19,4.147318,2.821004,-1.268584
1.794737,800,20,3.894463,1.919878,-1.021362
1.794737,800,21,7.967205,5.537295,0.012678
1.794737,800,22,17.889968,14.30174,-1.052865
1.794737,800,23,16.944173,8.029253,-1.290554
1.794737,800,24,13.290673,10.453638,-0.770342
1.794737,800,25,16.006996,6.209351,-1.028657
1.794737,800,26,4.959485,13.72649,-1.171415
1.794737,800,27,6.810727,2.545892,-0.641117
1.794737,800,28,9.179041,16.630586,-0.695666
1.794737,800,29,19.770588,6.961248,-1.689072
1.794737,800,30,3.997198,6.316189,-0.557447
1.794737,800,31,17.603763,14.946474,-0.205523
1.794737,800,32,1.293452,5.798109,-1.685611
1.794737,800,33,15.049065,14.131207,-0.421719
1.794737,800,34,14.172858,7.421493,-0.167769
1.794737,800,35,11.617207,7.153745,-1.607325
1.794737,800,36,2.74162,16.770962,-1.669652
1.794737,800,37,6.197095,15.066692,-0.732885
1.794737,800,38,18.687428,4.22685,-0.740529
1.794737,800,39,13.557746,1.138187,-1.450737
1.794737,800,40,5.189485,10.523861,-0.957015
1.794737,800,41,10.739153,5.908272,-1.242523
1.794737,800,42,7.958266,10.593516,-1.257017
1.794737,800,43,0.412611,6.700818,-0.807443
1.794737,800,44,5.736507,2.984514,-1.043608
1.794737,800,45,19.782165,1.345167,-0.061069
1.794737,800,46,15.956957,3.849721,-0.786506
1.794737,800,47,18.966772,12.432281,-0.438243
1.794737,800,48,16.642971,9.019855,-1.369112
1.794737,800,49,18.275437,12.81027,-0.286393
1.794737,800,50,3.697532,16.5059,-1.587704
1.794737,800,51,16.570405,17.069543,-0.804996
1.794737,800,52,2.431957,12.310823,-1.668742
1.794737,800,53,6.58758,4.18184,-1.647994
1.794737,800,54,6.066018,1.325568,-0.853516
1.794737,800,55,18.986131,8.475195,-0.465479
1.794737,800,56,2.9697,8.197157,-0.707919
1.794737,800,57,18.365135,4.344993,-1.008366
1.794737,800,58,4.782319,15.898269,-0.631911
1.794737,800,59,7.15448,4.677767,-1.252643
1.794737,800,60,9.289937,15.41441,0.037873
1.794737,800,61,4.788688,7.923816,-1.333117
1.794737,800,62,5.191087,12.438559,-1.182272
1.794737,800,63,9.580861,12.241001,-0.263431
1.794737,800,64,16.296155,15.241184,-1.390266
1.794737,800,65,6.651259,12.749407,-1.701799
1.794737,800,66,15.102496,17.782317,-0.963612
1.794737,800,67,19.243351,2.436502,-0.339424
