eta,paso,particula_id,x,y,vx,vy,theta,omega
1.897368,4500,84,10.808435,8.083743,2.962033,-0.595562,-2.10625,-0.003273
1.897368,4500,85,11.579023,9.393886,0.052646,-5.426874,-2.090914,-0.026333
1.897368,4500,86,11.379033,8.278888,1.837597,0.420734,-2.061527,0.114363
1.897368,4500,87,12.992304,8.590742,1.341393,2.505901,-2.091486,-0.148863
1.897368,4500,88,11.887265,9.200549,3.213517,-0.355817,-2.082336,-0.148437
1.897368,4500,89,10.480853,8.439263,0.221997,-0.304937,-2.077787,0.262037
1.897368,4500,90,9.922757,9.865039,0.146919,-3.556852,-2.036435,0.219391
1.897368,4500,91,11.70039,8.041935,-4.361873,-1.872442,-2.10133,0.187599
1.897368,4500,92,11.940998,9.349132,2.886185,2.794039,-2.096241,-0.136633
1.897368,4500,93,11.577023,7.394311,-4.233466,1.533138,-2.106346,0.032063
1.897368,4500,94,10.608167,8.220752,-3.117284,3.767771,-2.067646,0.107578
1.897368,4500,95,11.071978,9.94214,1.894515,-6.179869,-2.053738,0.109006
1.897368,4500,96,11.69248,7.512488,1.344806,0.816005,-2.097008,-0.18852
1.897368,4500,97,10.148093,8.782407,1.449677,-1.95097,-2.062235,0.160459
1.897368,4500,98,10.395099,7.872696,-2.858365,-0.628026,-2.075682,0.105751
1.897368,4500,99,12.06138,7.563803,-2.020903,-6.103459,-2.073101,-0.120576
1.897368,4500,100,11.01677,8.529734,-1.499215,-1.455782,-2.115032,-0.016146
1.897368,4500,101,12.641091,7.719329,-1.537222,1.733698,-2.107363,0.192698
1.897368,4500,102,12.977286,8.594884,-3.870421,0.108306,-2.046331,0.111765
1.897368,4500,103,10.621174,9.85023,-0.441948,-4.073642,-2.064598,0.09831
1.897368,4500,104,10.71408,8.280912,1.226352,3.311491,-2.077813,-0.121715
1.897368,4500,105,11.165852,8.945636,-1.642254,-2.280075,-2.092782,-0.105971
1.897368,4500,106,11.121867,7.883727,-0.311863,-1.17098,-2.102242,0.11126
1.897368,4500,107,12.768751,8.053172,-0.621954,0.402181,-2.096124,0.01396
1.897368,4500,108,10.250061,8.460572,3.485503,3.966984,-2.069306,-0.240858
1.897368,4500,109,11.57302,7.718575,-3.720765,-7.032073,-2.123193,0.094687
1.897368,4500,110,10.675722,9.791754,-0.516951,-6.57443,-2.073625,0.027709
1.897368,4500,111,12.210126,7.92401,0.449951,3.142778,-2.076136,0.039969
1.897368,4500,112,10.744202,9.08195,-0.501148,0.34419,-2.05643,-0.123677
1.897368,4500,113,11.427818,9.305284,4.864908,-0.377457,-2.079034,-0.046106
1.897368,4500,114,11.540738,9.100369,2.639484,3.233865,-2.075536,-0.003497
1.897368,4500,115,10.831017,8.594923,5.252881,-1.666969,-2.049874,-0.229002
1.897368,4500,116,10.951074,9.575609,-1.721422,2.396664,-2.101424,-0.218314
1.897368,4500,117,12.371798,8.211704,2.03472,-4.033858,-2.046868,0.126987
1.897368,4500,118,10.435413,7.690963,-0.327793,2.033877,-2.103496,-0.026742
1.897368,4500,119,11.892408,7.966985,0.559873,-3.250013,-2.084983,0.000795
1.897368,4500,120,10.322927,8.864511,4.457127,-2.705902,-2.109221,0.165952
1.897368,4500,121,11.639525,8.22253,-5.133108,2.265107,-2.06331,0.028776
1.897368,4500,122,9.71417,7.78842,1.222198,-1.967831,-2.114069,-0.064685
1.897368,4500,123,10.595745,8.925896,-1.766352,-2.031976,-2.093642,-0.030238
1.897368,4500,124,10.602139,9.010074,-0.199415,-5.654559,-2.066814,-0.057535
1.897368,4500,125,10.63241,8.337035,0.322787,-0.160546,-2.099668,0.193428
1.897368,4500,126,12.242962,8.31505,-0.262375,-2.130228,-2.068636,0.05426
1.897368,4500,127,11.229314,9.239714,-1.617357,0.491857,-2.05599,0.05448
1.897368,4500,128,10.621882,8.786984,0.476395,4.45331,-2.124345,-0.025127
1.897368,4500,129,12.017971,7.11916,-3.210408,3.334041,-2.083802,0.094947
1.897368,4500,130,11.161156,7.879842,5.662473,-1.124849,-2.056444,0.104188
1.897368,4500,131,12.904643,9.472621,0.958455,-1.461242,-2.103889,-0.176127
1.897368,4500,132,11.218691,8.73731,-0.728316,1.244626,-2.100631,-0.341718
1.897368,4500,133,11.735093,8.806022,-0.314936,-1.295255,-2.113871,-0.123662
1.897368,4500,134,10.749885,7.871422,-1.637596,1.720872,-2.036505,-0.080466
1.897368,4500,135,11.036144,8.036966,-0.497602,-2.031578,-2.041419,0.139632
1.897368,4500,136,11.589229,9.900925,-1.547556,3.50683,-2.084348,-0.017232
1.897368,4500,137,10.184656,7.688104,-3.328463,1.221717,-2.074786,0.116519
1.897368,4500,138,10.66924,7.703138,1.785042,1.192599,-2.06072,-0.301952
