eta,paso,particula_id,x,y,theta
1.794737,800,140,2.57372,18.574377,-2.6383
1.794737,800,141,8.81299,6.096802,-2.413231
1.794737,800,142,8.018282,1.431899,-1.90783
1.794737,800,143,4.501531,3.143985,-2.889094
1.794737,800,144,10.329672,0.995808,-1.129924
1.794737,800,145,15.807314,2.775265,-2.15952
1.794737,800,146,9.396183,2.71277,-2.308603
1.794737,800,147,6.423105,4.060454,-3.206771
1.794737,800,148,7.800606,19.891241,-2.018184
1.794737,800,149,8.398236,5.533574,-2.872882
1.692105,800,0,3.150461,14.206963,1.014681
1.692105,800,1,9.294493,6.895653,-0.470233
1.692105,800,2,6.08847,13.493673,0.904333
1.692105,800,3,3.76779,13.29919,0.298769
1.692105,800,4,2.604389,18.179849,0.469561
1.692105,800,5,2.634689,11.000747,-0.088877
1.692105,800,6,5.35465,7.152298,-0.017514
1.692105,800,7,15.116641,14.742911,-1.670251
1.692105,800,8,4.533845,16.907145,0.768457
1.692105,800,9,2.72765,15.647202,0.706935
1.692105,800,10,3.924383,7.000643,0.095439
1.692105,800,11,13.800091,6.440338,-0.591197
1.692105,800,12,11.461413,16.582319,0.248267
1.692105,800,13,7.93326,9.18994,-0.164171
1.692105,800,14,12.074342,18.388111,0.172538
1.692105,800,15,15.611344,10.466426,0.536973
1.692105,800,16,13.170207,8.018731,-0.624851
1.692105,800,17,6.373388,2.484321,0.333506
1.692105,800,18,8.609845,8.529225,-0.270233
1.692105,800,19,2.996874,8.980626,0.587272
1.692105,800,20,5.983022,14.211433,-0.035874
1.692105,800,21,4.881705,8.144203,0.977992
1.692105,800,22,14.225782,13.939568,-0.076033
1.692105,800,23,5.632248,6.043795,0.701393
1.692105,800,24,4.570151,8.343753,0.937894
1.692105,800,25,5.874993,5.07005,0.565821
1.692105,800,26,10.846227,14.675598,-0.708973
1.692105,800,27,5.093749,17.06887,1.073394
1.692105,800,28,4.280695,4.570721,0.767202
1.692105,800,29,3.860493,6.92391,0.810548
1.692105,800,30,12.937814,11.374472,-0.501674
1.692105,800,31,7.464547,11.511473,0.529269
1.692105,800,32,5.170132,11.647065,0.328882
1.692105,800,33,9.879601,9.299978,0.61976
1.692105,800,34,4.68319,7.217699,-0.364253
1.692105,800,35,15.338384,13.777737,-0.462912
1.692105,800,36,5.643786,3.722347,-0.04849
1.692105,800,37,7.97346,9.918981,0.623406
1.692105,800,38,15.648419,13.243766,-1.872961
1.692105,800,39,7.690459,6.491681,1.23601
1.692105,800,40,1.94706,7.243102,0.146924
1.692105,800,41,4.167675,13.604641,0.856873
1.692105,800,42,11.524728,10.902909,-0.671535
1.692105,800,43,4.228416,14.716918,0.759867
1.692105,800,44,12.744584,12.545373,-1.420177
1.692105,800,45,2.898777,13.384,-0.371739
1.692105,800,46,4.860385,13.686042,0.929855
1.692105,800,47,7.635373,10.889915,0.362059
1.692105,800,48,1.87859,15.391493,0.421645
1.692105,800,49,2.71046,16.491541,1.055609
1.692105,800,50,3.949984,7.457945,0.019909
1.692105,800,51,6.537269,12.179068,-0.029512
1.692105,800,52,1.930711,11.769592,1.095697
1.692105,800,53,3.835225,14.777058,0.474261
1.692105,800,54,7.183383,8.24381,0.871951
1.692105,800,55,14.091793,16.447587,-1.011407
1.692105,800,56,3.353833,11.899153,1.275604
1.692105,800,57,5.271569,7.128552,-0.131426
1.692105,800,58,12.591565,11.773654,0.185346
1.692105,800,59,4.757997,14.095073,0.155865
1.692105,800,60,19.749978,16.74724,0.487386
1.692105,800,61,5.616467,7.236461,0.683902
1.692105,800,62,5.058623,8.061184,0.659663
1.692105,800,63,9.568672,16.491976,0.798574
1.692105,800,64,12.511434,14.436238,-0.032681
1.692105,800,65,15.92471,17.362657,-1.503944
1.692105,800,66,4.636196,10.995906,0.507097
1.692105,800,67,4.122282,3.942197,0.046629
1.692105,800,68,5.201767,5.801908,0.270908
1.692105,800,69,9.38203,7.326766,0.132997
1.692105,800,70,12.307627,15.97691,-0.833132
1.692105,800,71,13.046045,12.13949,0.003769
1.692105,800,72,15.841588,9.960544,-0.276382
1.692105,800,73,3.460437,7.480944,0.05949
1.692105,800,74,7.570383,10.88628,-0.004398
1.692105,800,75,8.378332,13.275174,-0.54264
1.692105,800,76,8.386156,8.528464,0.304295
1.692105,800,77,7.453276,10.689476,-0.275031
1.692105,800,78,3.796805,7.20577,0.548642
1.692105,800,79,15.087604,8.309088,-0.035561
1.692105,800,80,6.195912,7.847192,0.064267
1.692105,800,81,8.991628,4.124313,0.575652
1.692105,800,82,5.35029,10.6944,0.279473
1.692105,800,83,10.168738,0.475028,-2.358015
1.692105,800,84,18.992142,17.462809,0.870041
1.692105,800,85,5.024765,7.393063,-0.36347
1.692105,800,86,3.730027,5.566771,1.347887
1.692105,800,87,11.845851,16.207145,0.18833
1.692105,800,88,10.042298,9.016884,-0.19
1.692105,800,89,13.439465,13.991007,-0.983274
1.692105,800,90,4.079758,9.545598,1.13941
1.692105,800,91,7.357936,4.957607,1.651792
1.692105,800,92,5.185813,10.613965,1.022927
1.692105,800,93,8.387723,4.295858,2.076329
1.692105,800,94,11.833733,8.977058,-0.276372
1.692105,800,95,7.282185,8.000373,0.41946
1.692105,800,96,3.159881,5.543268,0.599502
1.692105,800,97,12.993574,10.032626,-0.941945
1.692105,800,98,5.580356,8.724595,0.044588
1.692105,800,99,11.381741,14.427977,-0.207975
1.692105,800,100,7.339544,5.035828,1.749383
1.692105,800,101,14.728093,10.757117,0.271178
1.692105,800,102,12.264965,12.846045,0.237034
1.692105,800,103,2.663982,12.769761,0.563283
1.692105,800,104,3.288222,14.613549,0.34699
1.692105,800,105,11.059841,10.007538,0.269504
1.692105,800,106,15.799887,16.60644,-1.189567
1.692105,800,107,6.672765,4.920142,1.21398
1.692105,800,108,8.474355,17.876698,1.123825
1.692105,800,109,11.707851,16.427758,-0.582561
1.692105,800,110,14.294119,16.107185,-0.83766
1.692105,800,111,12.786254,13.318667,-0.281083
1.692105,800,112,8.301744,2.976239,0.591554
1.692105,800,113,12.174793,9.186763,0.149638
1.692105,800,114,13.788365,15.513168,-0.717716
1.692105,800,115,2.386021,15.307274,-0.3162
1.692105,800,116,8.576363,7.633728,0.751236
1.692105,800,117,6.658517,11.618239,-0.070385
1.692105,800,118,13.187471,10.07366,0.385752
1.692105,800,119,4.655103,7.39275,1.126591
1.692105,800,120,12.056847,10.851603,0.005148
1.692105,800,121,15.214503,14.115082,-1.816305
1.692105,800,122,19.176511,16.105385,1.90195
1.692105,800,123,12.417658,7.204171,0.610785
